# x1, y1, x2, y2
-0.17708,0.00119,-0.17008,0.02519
0.01202,-0.16606,0.03701,-0.16683
-0.05803,-0.12960,-0.06475,-0.10552
-0.17008,0.02519,-0.19489,0.02210
0.03701,-0.16683,0.05972,-0.15637
-0.19489,0.02210,-0.17162,0.01297
0.05972,-0.15637,0.07392,-0.13580
-0.19489,0.02210,-0.20269,0.04586
-0.20269,0.04586,-0.20052,0.07076
-0.20052,0.07076,-0.18160,0.05441
-0.03913,-0.31498,-0.02741,-0.29290
-0.10885,-0.12597,-0.08616,-0.13646
-0.20269,0.04586,-0.17811,0.05042
0.04499,-0.32910,0.06973,-0.33271
0.07392,-0.13580,0.05577,-0.15299
0.06973,-0.33271,0.09195,-0.34416
0.07392,-0.13580,0.09537,-0.12296
0.09537,-0.12296,0.07038,-0.12378
0.09537,-0.12296,0.10423,-0.09958
0.10423,-0.09958,0.12828,-0.10642
-0.18160,0.05441,-0.16523,0.07331
-0.15839,-0.30086,-0.16652,-0.27722
0.12828,-0.10642,0.11663,-0.12854
0.12828,-0.10642,0.12243,-0.13073
0.12828,-0.10642,0.13513,-0.08238
-0.18210,-0.16075,-0.19632,-0.18131
0.12243,-0.13073,0.14076,-0.14774
0.13513,-0.08238,0.14758,-0.06070
-0.20269,0.04586,-0.22751,0.04887
0.09195,-0.34416,0.06696,-0.34362
0.14076,-0.14774,0.16509,-0.15348
0.09195,-0.34416,0.11516,-0.35346
-0.34733,-0.35307,-0.34302,-0.32844
-0.34153,-0.33282,-0.33368,-0.30908
0.09195,-0.34416,0.08049,-0.36638
-0.06475,-0.10552,-0.04348,-0.11866
0.14758,-0.06070,0.15868,-0.03830
0.11516,-0.35346,0.13696,-0.36570
-0.38909,-0.33367,-0.36961,-0.31801
-0.01111,-0.17555,-0.02480,-0.15463
-0.12041,-0.24607,-0.10575,-0.26632
0.15868,-0.03830,0.14843,-0.06110
-0.16523,0.07331,-0.15917,0.04905
0.13696,-0.36570,0.11854,-0.38260
-0.36681,-0.32233,-0.37777,-0.29986
0.13696,-0.36570,0.11229,-0.36974
-0.23136,-0.31634,-0.24201,-0.29372
-0.16523,0.07331,-0.17813,0.05189
0.00881,-0.31565,0.02312,-0.29515
0.16509,-0.15348,0.18802,-0.16344
0.15868,-0.03830,0.17829,-0.02280
0.01202,-0.16606,0.03698,-0.16454
0.17829,-0.02280,0.19354,-0.00299
-0.20360,-0.02245,-0.18385,-0.00713
0.03701,-0.16683,0.04358,-0.19096
-0.22751,0.04887,-0.25220,0.04494
0.19354,-0.00299,0.20749,0.01775
0.13696,-0.36570,0.16055,-0.37399
0.20749,0.01775,0.19349,-0.00295
-0.25220,0.04494,-0.23210,0.05981
0.20749,0.01775,0.18393,0.02609
0.20749,0.01775,0.23209,0.01330
0.18393,0.02609,0.18058,0.00132
-0.20052,0.07076,-0.20594,0.09516
-0.19602,-0.33297,-0.21654,-0.34726
0.23209,0.01330,0.22013,-0.00865
-0.37777,-0.29986,-0.39966,-0.28780
-0.20594,0.09516,-0.19471,0.07283
-0.24575,-0.39398,-0.22963,-0.41309
0.18802,-0.16344,0.18831,-0.18844
0.23209,0.01330,0.21927,-0.00816
0.23209,0.01330,0.25553,0.02199
-0.25220,0.04494,-0.22833,0.03751
0.25553,0.02199,0.25371,0.04692
-0.39188,-0.42160,-0.40135,-0.44474
-0.38909,-0.33367,-0.36710,-0.32178
0.25371,0.04692,0.24453,0.02367
0.25371,0.04692,0.26384,0.06978
0.26384,0.06978,0.26046,0.09455
0.26046,0.09455,0.24989,0.07190
-0.25220,0.04494,-0.26615,0.02419
0.18393,0.02609,0.16587,0.04338
-0.20594,0.09516,-0.19524,0.07257
-0.20594,0.09516,-0.18495,0.10875
0.26046,0.09455,0.24964,0.07202
0.25553,0.02199,0.27673,0.00873
0.18831,-0.18844,0.21204,-0.19630
0.16587,0.04338,0.16279,0.06819
0.02136,-0.33727,0.00882,-0.35890
-0.18495,0.10875,-0.19711,0.08691
0.26046,0.09455,0.24861,0.07254
-0.18495,0.10875,-0.16512,0.12397
-0.15917,0.04905,-0.17105,0.07105
-0.20594,0.09516,-0.22493,0.11142
-0.19602,-0.33297,-0.21989,-0.34041
0.00881,-0.31565,0.01134,-0.34053
-0.13106,-0.08152,-0.13766,-0.10563
