0,0,0.5
0.01,0.066864,0.55701
0.02,0.13348,0.61185
0.03,0.1996,0.66429
0.04,0.26498,0.71416
0.05,0.32939,0.76126
0.06,0.39257,0.80543
0.07,0.45429,0.84651
0.08,0.51434,0.88435
0.09,0.57249,0.91881
0.1,0.62852,0.94978
0.11,0.68223,0.97714
0.12,0.73343,1.0008
0.13,0.78193,1.0207
0.14,0.82754,1.0367
0.15,0.87012,1.0489
0.16,0.90951,1.0571
0.17,0.94556,1.0614
0.18,0.97815,1.0617
0.19,1.0072,1.0581
0.2,1.0325,1.0506
0.21,1.0541,1.0392
0.22,1.0719,1.0241
0.23,1.0858,1.0052
0.24,1.0958,0.98267
0.25,1.1018,0.9566
0.26,1.1039,0.92712
0.27,1.1021,0.89436
0.28,1.0963,0.85844
0.29,1.0867,0.81954
0.3,1.0733,0.77783
0.31,1.0561,0.73347
0.32,1.0352,0.68665
0.33,1.0107,0.63759
0.34,0.98283,0.58648
0.35,0.95159,0.53355
0.36,0.91716,0.47901
0.37,0.87969,0.42309
0.38,0.83934,0.36603
0.39,0.7963,0.30807
0.4,0.75073,0.24946
0.41,0.70285,0.19043
0.42,0.65285,0.13123
0.43,0.60094,0.072118
0.44,0.54736,0.013336
0.45,0.49233,-0.044869
0.46,0.43608,-0.10225
0.47,0.37884,-0.15858
0.48,0.32087,-0.2136
0.49,0.2624,-0.2671
0.5,0.20368,-0.31884
0.51,0.14496,-0.36861
0.52,0.086495,-0.41619
0.53,0.02852,-0.46139
0.54,-0.028714,-0.50401
0.55,-0.084968,-0.54387
0.56,-0.14,-0.5808
0.57,-0.19358,-0.61463
0.58,-0.24548,-0.64522
0.59,-0.29548,-0.67244
0.6,-0.34337,-0.69616
0.61,-0.38893,-0.71627
0.62,-0.43198,-0.73268
0.63,-0.47233,-0.74532
0.64,-0.5098,-0.75411
0.65,-0.54423,-0.75902
0.66,-0.57547,-0.75999
0.67,-0.60337,-0.75703
0.68,-0.62782,-0.75012
0.69,-0.6487,-0.73927
0.7,-0.6659,-0.72453
0.71,-0.67936,-0.70592
0.72,-0.68899,-0.68351
0.73,-0.69474,-0.65737
0.74,-0.69658,-0.6276
0.75,-0.69448,-0.59429
0.76,-0.68843,-0.55756
0.77,-0.67845,-0.51755
0.78,-0.66455,-0.47439
0.79,-0.64677,-0.42824
0.8,-0.62517,-0.37928
0.81,-0.59981,-0.32767
0.82,-0.57079,-0.27361
0.83,-0.5382,-0.2173
0.84,-0.50214,-0.15895
0.85,-0.46276,-0.098767
0.86,-0.42018,-0.03698
0.87,-0.37456,0.026184
0.88,-0.32607,0.090488
0.89,-0.27487,0.15569
0.9,-0.22116,0.22156
0.91,-0.16513,0.28783
0.92,-0.10698,0.35427
0.93,-0.046933,0.42063
0.94,0.014796,0.48666
0.95,0.077977,0.55211
0.96,0.14238,0.61674
0.97,0.20776,0.68031
0.98,0.27388,0.74259
0.99,0.3405,0.80333
1,0.40736,0.86232
1.01,0.47423,0.91933
1.02,0.54084,0.97416
1.03,0.60696,1.0266
1.04,0.67235,1.0765
1.05,0.73675,1.1236
1.06,0.79993,1.1677
1.07,0.86166,1.2088
1.08,0.9217,1.2467
1.09,0.97985,1.2811
1.1,1.0359,1.3121
1.11,1.0896,1.3395
1.12,1.1408,1.3631
1.13,1.1893,1.383
1.14,1.2349,1.399
1.15,1.2775,1.4112
1.16,1.3169,1.4194
1.17,1.3529,1.4237
1.18,1.3855,1.424
1.19,1.4145,1.4204
1.2,1.4399,1.4129
1.21,1.4615,1.4016
1.22,1.4793,1.3864
1.23,1.4932,1.3675
1.24,1.5032,1.345
1.25,1.5092,1.3189
1.26,1.5113,1.2894
1.27,1.5095,1.2567
1.28,1.5037,1.2208
1.29,1.4941,1.1819
1.3,1.4806,1.1401
1.31,1.4634,1.0958
1.32,1.4425,1.049
1.33,1.4181,0.99991
1.34,1.3902,0.9488
1.35,1.359,0.89586
1.36,1.3245,0.84132
1.37,1.2871,0.78541
1.38,1.2467,0.72835
1.39,1.2037,0.67039
1.4,1.1581,0.61177
1.41,1.1102,0.55274
1.42,1.0602,0.49355
1.43,1.0083,0.43444
1.44,0.95473,0.37565
1.45,0.89969,0.31745
1.46,0.84344,0.26006
1.47,0.7862,0.20374
1.48,0.72823,0.14871
1.49,0.66976,0.095217
1.5,0.61104,0.043475
1.51,0.55233,-0.0062932
1.52,0.49386,-0.053878
1.53,0.43588,-0.099076
1.54,0.37865,-0.1417
1.55,0.32239,-0.18155
1.56,0.26736,-0.21848
1.57,0.21378,-0.25231
1.58,0.16188,-0.2829
1.59,0.11188,-0.31012
1.6,0.063994,-0.33384
1.61,0.018429,-0.35395
1.62,-0.024621,-0.37037
1.63,-0.064969,-0.383
1.64,-0.10244,-0.3918
1.65,-0.13687,-0.3967
1.66,-0.16811,-0.39768
1.67,-0.19601,-0.39471
1.68,-0.22046,-0.3878
1.69,-0.24133,-0.37696
1.7,-0.25854,-0.36221
1.71,-0.27199,-0.3436
1.72,-0.28162,-0.32119
1.73,-0.28738,-0.29506
1.74,-0.28922,-0.26528
1.75,-0.28712,-0.23197
1.76,-0.28107,-0.19524
1.77,-0.27108,-0.15523
1.78,-0.25718,-0.11207
1.79,-0.23941,-0.065926
1.8,-0.21781,-0.01696
1.81,-0.19245,0.034646
1.82,-0.16343,0.088703
1.83,-0.13083,0.14501
1.84,-0.094782,0.20337
1.85,-0.055398,0.26355
1.86,-0.01282,0.32534
1.87,0.032798,0.3885
1.88,0.081293,0.4528
1.89,0.13249,0.51801
1.9,0.1862,0.58387
1.91,0.24223,0.65015
1.92,0.30038,0.71659
1.93,0.36043,0.78295
1.94,0.42216,0.84898
1.95,0.48534,0.91443
1.96,0.54974,0.97906
1.97,0.61512,1.0426
1.98,0.68124,1.1049
1.99,0.74786,1.1656
2,0.81472,1.2246
2.01,0.88159,1.2816
2.02,0.9482,1.3365
2.03,1.0143,1.3889
2.04,1.0797,1.4388
2.05,1.1441,1.4859
2.06,1.2073,1.5301
2.07,1.269,1.5711
2.08,1.3291,1.609
2.09,1.3872,1.6434
2.1,1.4432,1.6744
2.11,1.497,1.7018
2.12,1.5482,1.7254
2.13,1.5966,1.7453
2.14,1.6423,1.7614
2.15,1.6848,1.7735
2.16,1.7242,1.7817
2.17,1.7603,1.786
2.18,1.7929,1.7863
2.19,1.8219,1.7827
2.2,1.8473,1.7752
2.21,1.8689,1.7639
2.22,1.8866,1.7487
2.23,1.9005,1.7298
2.24,1.9105,1.7073
2.25,1.9166,1.6812
2.26,1.9187,1.6518
2.27,1.9168,1.619
2.28,1.9111,1.5831
2.29,1.9014,1.5442
2.3,1.888,1.5025
2.31,1.8708,1.4581
2.32,1.8499,1.4113
2.33,1.8255,1.3622
2.34,1.7976,1.3111
2.35,1.7663,1.2582
2.36,1.7319,1.2036
2.37,1.6944,1.1477
2.38,1.6541,1.0907
2.39,1.611,1.0327
2.4,1.5655,0.97409
2.41,1.5176,0.91506
2.42,1.4676,0.85586
2.43,1.4157,0.79675
2.44,1.3621,0.73797
2.45,1.3071,0.67976
2.46,1.2508,0.62238
2.47,1.1936,0.56606
2.48,1.1356,0.51103
2.49,1.0771,0.45753
